Reference No.,Tendering Procedure,Title or Scope,Contractor(s) and Address(es),Item/Quantity,Awarded Amount,Date Awarded,Source_File,Year,Source_Month,Source_URL
Q039009,Selective,Provision of Unilluminated Sign Panel,"All-way Engineering & Production Co LtdFlat E, 12/F, Kingsford Industrial Building, Phase II,26-32 Kwai Hei Street,Kwai Chung,New Territories, Hong Kong",2 Years,Not Disclosed,22 Apr 2015,MTR_Tender_Apr15_table1.csv,2015,Apr15,https://www.mtr.com.hk/en/corporate/tenders/Apr15.html
C6008.B-15C,Selective,"Refurbishment of Concourse, Platforms and Entrances in ADM","Program Contractors Ltd19/F, Wing Shing Industrial Building,26 Ng Fong Street,San Po Kong,Kowloon, Hong Kong",Not Applicable,"HK$73,687,540",10 Sep 2015,MTR_Tender_Sep15_table1.csv,2015,Sep15,https://www.mtr.com.hk/en/corporate/tenders/Sep15.html
M1039-12E,Selective,Maintenance Services for DCS in KTL/TKL/TWL/ISL/AEL/TCL/DRL,"CommScope Technologies LLCc/o CommScope Technologies (Hong Kong) LtdRoom 915-917, Chevalier Commercial Centre,8 Wang Hoi Road,Kowloon Bay,Kowloon, Hong Kong",Not Applicable,"HK$13,325,446",29 Sep 2015,MTR_Tender_Sep15_table1.csv,2015,Sep15,https://www.mtr.com.hk/en/corporate/tenders/Sep15.html
M1051-12E,Selective,"Maintenance Services for Passenger Information Display System in ISL, KTL and TWL","Itochu Hong Kong Ltd28/F, United Centre,95 Queensway,Hong Kong",Not Applicable,"HK$6,454,562",29 Sep 2015,MTR_Tender_Sep15_table1.csv,2015,Sep15,https://www.mtr.com.hk/en/corporate/tenders/Sep15.html
Q037979,Selective,"Fitting-out Works of MTR Hung Hom Office Building, Citylink and MTR Headquarters Building for Office and Training Room Relocation","Thomas Lo Contracting LtdRoom 1202, 12/F Billion Plaza,8 Cheung Yue Street,Cheung Sha Wan,Kowloon, Hong Kong",1 Job,"HK$32,042,199",4 Sep 2015,MTR_Tender_Sep15_table1.csv,2015,Sep15,https://www.mtr.com.hk/en/corporate/tenders/Sep15.html
Q037980,Selective,Addition & Alteration Works for Level 1 to Level 8 of MTR Headquarters Building and Telford Plaza II,"Yearfull Contracting Ltd17/F, SUP Tower,75-83 King's Road,North Point,Hong Kong",1 Job,"HK$133,694,768",4 Sep 2015,MTR_Tender_Sep15_table1.csv,2015,Sep15,https://www.mtr.com.hk/en/corporate/tenders/Sep15.html
Q040948,Selective,Provision of Waste Recycling Management Service for MTR Managed Properties,"On Kee (HK) Environmental Recycling LtdFlat K, 2/F, Marvel Industrial Building,25-31 Kwai Fung Crescent,Kwai Chung,New Territories, Hong Kong",3 Years,Not Disclosed,25 Sep 2015,MTR_Tender_Sep15_table1.csv,2015,Sep15,https://www.mtr.com.hk/en/corporate/tenders/Sep15.html
1120B,Selective,Shatin to Central Link: Trackwork and Overhead Line for SCL (Phase II),"Eiffage Infra-Bau Tak Yue Joint VentureRoom C, 13/F, Winner Building,32-40 Man Yue Street,Hung Hom,Kowloon, Hong Kong",1 Job,"HK$204,999,695",8 Jul 2016,MTR_Tender_Jul16_table1.csv,2016,Jul16,https://www.mtr.com.hk/en/corporate/tenders/Jul16.html
K1846-15E,Selective,Procurement of New Light Rail Vehicles,"CRRC Nanjing Puzhen Co LtdNo. 68, North Puzhu Road,Taishan Park,High-new Development Zone,Nanjing City 210031,China",40 Nos.,"HK$745,330,713.97",7 Jul 2016,MTR_Tender_Jul16_table1.csv,2016,Jul16,https://www.mtr.com.hk/en/corporate/tenders/Jul16.html
M1128-16E,Selective,"Maintenance Services for DCS for SYP, HKU & KET","Comba Telecom Ltd611, East Wing,No. 8 Science Park West Avenue,Hong Kong Science Park,Tai Po,New Territories, Hong Kong",Not Applicable,"HK$1,715,900",25 Jul 2016,MTR_Tender_Jul16_table1.csv,2016,Jul16,https://www.mtr.com.hk/en/corporate/tenders/Jul16.html
1171,Selective,Back-up Access Vehicles,"CRRC Sifang Co., Ltd.9 Hongping Road, Chengyang District, Qingdao, China",6 Nos.,"HK$13,608,385",5 Sep 2016,MTR_Tender_Sep16_table1.csv,2016,Sep16,https://www.mtr.com.hk/en/corporate/tenders/Sep16.html
Q046692,Selective,Provision of Scheme Administration Services for MTR Corporation Limited Provident Fund Scheme,"HSBC Institutional Trust Services (Asia) Limited17/F, Tower 2 and 3, HSBC Centre, 1 Sham Mong Road, Kowloon, Hong Kong",3 Years,Not Disclosed,28 Sep 2016,MTR_Tender_Sep16_table1.csv,2016,Sep16,https://www.mtr.com.hk/en/corporate/tenders/Sep16.html
Q046798,Selective,Provision of Shuttle Bus Services for Investment Properties,"Kwoon Chung Motors Company Limited3/F, 8 Chong Fu Road, Chai Wan, Hong Kong.",2 Years,"HK$8,760,000",26 Sep 2016,MTR_Tender_Sep16_table1.csv,2016,Sep16,https://www.mtr.com.hk/en/corporate/tenders/Sep16.html
Q046883,Selective,Provision of Promotional Materials for Marketing Communications,"Standard (Chan's) Company7/F, 20 Lee Chung Street, Chai Wan, Hong Kong",3 Years,Not Disclosed,12 Sep 2016,MTR_Tender_Sep16_table1.csv,2016,Sep16,https://www.mtr.com.hk/en/corporate/tenders/Sep16.html
Q047341,Selective,Advertising Agency Service for MTR Malls and Commercial Premises,"Asiaray Outdoor Media LimitedUnit 01-03, 17/F Kornhill Plaza - Office Tower, 1 Kornhill Road, Quarry Bay, Hong Kong",5 Years,"HK$157,607,887",23 Sep 2016,MTR_Tender_Sep16_table1.csv,2016,Sep16,https://www.mtr.com.hk/en/corporate/tenders/Sep16.html
860G,Selective,Express Rail Link - Depot Equipment for Shek Kong Stabling Sidings - Underfloor Wheel Lathe,"Jebsen & Jessen Technology (S) Pte Ltd18 Enterprise Road, Singapore 629824",Not Applicable,"HK$25,388,509",8 Dec 2016,MTR_Tender_Dec16_table1.csv,2016,Dec16,https://www.mtr.com.hk/en/corporate/tenders/Dec16.html
860H,Selective,Express Rail Link: Depot Equipment for Shek Kong Stabling Sidings - Wheel and Axle Inspection Equipment for High Speed Trains,arxes-tolina GmbHPiesporter Straβe No.3710589 BerlinGermany,Not Applicable,"HK$14,859,447",8 Dec 2016,MTR_Tender_Dec16_table1.csv,2016,Dec16,https://www.mtr.com.hk/en/corporate/tenders/Dec16.html
1168,Selective,Shatin to Central Link: Train Wash Plant for SCL Phase 1,"Jebsen & Jessen Technology (S) Pte Ltd.18 Enterprise Road, Singapore 629824",Not Applicable,"HK$11,325,000",9 Dec 2016,MTR_Tender_Dec16_table1.csv,2016,Dec16,https://www.mtr.com.hk/en/corporate/tenders/Dec16.html
1169B,Selective,Shatin to Central Link: Communications System for SCL Phase 2,"CLP Enginnering Limited36/F, Asia Trade Centre, 79 Lei Muk Road, Kwai Chung, New Territories, Hong Kong",Not Applicable,"HK$112,355,003",9 Dec 2016,MTR_Tender_Dec16_table1.csv,2016,Dec16,https://www.mtr.com.hk/en/corporate/tenders/Dec16.html
Q048849,Selective,Supply and Maintenance for Signage Labels and Materials,"Mountain Arts Production Co., Ltd.Flat 1 & 9, 5/F., Sunray Industrial Centre, 610C Cha Kwo Ling Road, Yau Tong Bay, Kowloon, Hong Kong",3 Years,Not Disclosed,9 Dec 2016,MTR_Tender_Dec16_table1.csv,2016,Dec16,https://www.mtr.com.hk/en/corporate/tenders/Dec16.html
Q048925,Selective,Implementation of Security Information and Event Manaement System (SIEM) and Provision of Managed Security Services (MSS),"Global Technology Integrator Ltd.Unit 3603-3609, 36/F., 1 Hung To Road, Kwun Tong, Kowloon, Hong Kong",1 Job,"HK$5,202,200",14 Dec 2016,MTR_Tender_Dec16_table1.csv,2016,Dec16,https://www.mtr.com.hk/en/corporate/tenders/Dec16.html
T0953-16C,Selective,Provision of Term Workers for Infrastructure Maintenance Department,"Hop Yuen Construction Company2/F., Hop Yeun Centre, 171 Queen's Road Central, Hong Kong",2 Years,Not Applicable,8 Dec 2016,MTR_Tender_Dec16_table1.csv,2016,Dec16,https://www.mtr.com.hk/en/corporate/tenders/Dec16.html
Q048460,Selective,Provision of Wi-Fi Services for MTR Intercity Through Train (Ktt),"HK Easy Shop LimitedFloor 20, Fun Tower, 35 Hung To Road, Kwun Tong, Kowloon, Hong Kong",3 Years,Not Disclosed,24 Oct 2016,MTR_Tender_Oct16_table1.csv,2016,Oct16,https://www.mtr.com.hk/en/corporate/tenders/Oct16.html
8217,Selective,Backfilling of Shek Yam Construction Adit,"Tapbo Civil Engineering Company LimitedUnit 2, 12/F, Yee Kuk Industrial Centre, 555 Yee Kuk Street, Cheung Sha Wan, Kowloon, Hong Kong",Not Applicable,"HK$24,505,877",22 Nov 2016,MTR_Tender_Nov16_table1.csv,2016,Nov16,https://www.mtr.com.hk/en/corporate/tenders/Nov16.html
C5503-16E,Selective,Mid-Life Asset Replacement for ECS/PRC System,"Siemens Limited10/F, Tower B, Manulife Financial Centre, 223-231 Wai Yip St., Kwun Tong, Hong Kong",Not Applicable,"HK$8,680,978 + A$8,122,183",7 Nov 2016,MTR_Tender_Nov16_table1.csv,2016,Nov16,https://www.mtr.com.hk/en/corporate/tenders/Nov16.html
M1126-16E,Selective,Maintenance Services for ECS/PRC System,"Siemens Limited10/F, Tower B, Manulife Financial Centre, 223-231 Wai Yip St., Kwun Tong, Hong Kong",Not Applicable,"HK$20,103,895 + A$5,442,046",21 Nov 2016,MTR_Tender_Nov16_table1.csv,2016,Nov16,https://www.mtr.com.hk/en/corporate/tenders/Nov16.html
Q043035,Selective,Replacement of Bus Contactless Smart Card Processors and Bus Depot Computers,"ERG Transit Systems (HK) LimitedUnit 4A, First Group Centre, 14 Wang Tai Road, Kowloon Bay, Kowloon, Hong Kong.",1 Job,"HK$13,981,519",15 Nov 2016,MTR_Tender_Nov16_table1.csv,2016,Nov16,https://www.mtr.com.hk/en/corporate/tenders/Nov16.html
Q043332,Selective,"Operation of Duty Free Business at Hung Hom, Lo Wu and Lok Ma Chau Stations","Anway LimitedUnit 816 – 823, 8th Floor, Trade Square, 681 Cheung Sha Wan Road, Kowloon, Hong Kong",5 Years,Not Disclosed,22 Nov 2016,MTR_Tender_Nov16_table1.csv,2016,Nov16,https://www.mtr.com.hk/en/corporate/tenders/Nov16.html
Q044533,Selective,Supply of LCD Panels for EAL MLR Trains,"Shun Hing Systems Integration Company Limited16/F, Shun Hing Centre, 8 Shing Yiu Street, Kwai Chung, N.T., Hong Kong",1 Lot,"HK$4,408,200",3 Nov 2016,MTR_Tender_Nov16_table1.csv,2016,Nov16,https://www.mtr.com.hk/en/corporate/tenders/Nov16.html
Q045961,Selective,Modification of C-Train Door Bottom Guide Assembly,"CRC (Hong Kong) International Corporation Limited11/F, AXA Centre, 151 Gloucester Road, Wanchai, Hong Kong",1 Job,"HK$6,275,600",15 Nov 2016,MTR_Tender_Nov16_table1.csv,2016,Nov16,https://www.mtr.com.hk/en/corporate/tenders/Nov16.html
Q046452,Selective,"Provision of Security Guarding Services for Sheung Shui, Lok Ma Chau, Lo Wu and East Tsim Sha Tsui Stations","Honway Security Limited22/F, Hong Kong Chinese Bank, Causeway Bay Centre, 42-44 Yee Wo Street, Causeway Bay, Hong Kong",28 Months,"HK$11,083,718",24 Nov 2016,MTR_Tender_Nov16_table1.csv,2016,Nov16,https://www.mtr.com.hk/en/corporate/tenders/Nov16.html
Q046485,Selective,Provision of Marketing and Event Management Services for MTR Malls,"Almond LimitedUnit D, 8/F, Ka Ming Court, 688-690 Castle Peak Road, Kowloon, Hong Kong",3 Years,Not Disclosed,1 Nov 2016,MTR_Tender_Nov16_table1.csv,2016,Nov16,https://www.mtr.com.hk/en/corporate/tenders/Nov16.html
Q046486,Selective,Provision of Design and Production of Decoration for MTR Malls,"Pico International (HK) LimitedPico House, 4 Dai Fu Street, Tai Po Industrial Estate, New TerritoriesHong Kong",3 Years,Not Disclosed,30 Nov 2016,MTR_Tender_Nov16_table1.csv,2016,Nov16,https://www.mtr.com.hk/en/corporate/tenders/Nov16.html
Q046933,Selective,Provision of Advertising Agency Services for Branding and Marketing Communications,"Cheil Hong Kong Limited2/F, 299 QRC, 299 Queen's Road Central, Sheung Wan, Hong Kong",2 Years,Not Disclosed,8 Nov 2016,MTR_Tender_Nov16_table1.csv,2016,Nov16,https://www.mtr.com.hk/en/corporate/tenders/Nov16.html
Q048464,Selective,Provision of Maintenance Services for Advertising Panels in MTR Stations,"Westwood LimitedUnit A1, G/F, Hi-Tech Industrial Centre, 5-21 Pak Tin Par Street, Tsuen Wan, New Territories, Hong Kong",2 Years,Not Disclosed,28 Nov 2016,MTR_Tender_Nov16_table1.csv,2016,Nov16,https://www.mtr.com.hk/en/corporate/tenders/Nov16.html
1191,Selective,Shatin to Central Link: Floodgate System for SCL Phase 2,"The Jardine Engineering Corporation, Limited5/F, Tower A, Manulife Financial Centre, 223-231 Wai Yip Street, Kwun Tong, Kowloon, Hong Kong",Not Applicable,"HK$60,259,267",8 Jan 2016,MTR_Tender_Jan16_table1.csv,2016,Jan16,https://www.mtr.com.hk/en/corporate/tenders/Jan16.html
1124,Selective,Shatin to Central Link: Admiralty SCL Related Works,"Leader - Kaden SCL1124 Joint VentureUnits 601-605A, 6/F, Tower B,Manulife Financial Centre,223 Wai Yip Street,Kwun Tong,Kowloon, Hong Kong",1 Job,"HK$833,606,000",10 Mar 2016,MTR_Tender_Mar16_table1.csv,2016,Mar16,https://www.mtr.com.hk/en/corporate/tenders/Mar16.html
Q036129,Selective,Supply of Gangway Bellows for Trains Operated in TCL and TKL,"Hubner Interface Systems (Shanghai) Co LtdBuilding 81,No. 90 Delin Road,Waigaoqiao Free Trade Zone,Shanghai 200131,China",1 Job,"HK$1,930,163",31 Mar 2016,MTR_Tender_Mar16_table1.csv,2016,Mar16,https://www.mtr.com.hk/en/corporate/tenders/Mar16.html
Q041784,Selective,Provision of Event Management and Production Services for MTR HONG KONG Race Walking,"Oval Design Ltd22D, Legend Tower,7 Shing Yip Street,Kwun Tong,Kowloon, Hong Kong",1 Year,Not disclosed,22 Mar 2016,MTR_Tender_Mar16_table1.csv,2016,Mar16,https://www.mtr.com.hk/en/corporate/tenders/Mar16.html
CT125-15E,Selective,DCS Network Replacement (Phase 1),"Huawei International Co Ltd9/F, Tower 6, The Gateway,9 Canton Road,Tsim Sha Tsui,Kowloon, Hong Kong",Not Applicable,"HK$64,853,974",12 Apr 2016,MTR_Tender_Apr16_table1.csv,2016,Apr16,https://www.mtr.com.hk/en/corporate/tenders/Apr16.html
Q040790,Selective,Supply of 5.5 Ton Diesel Lorries,"Universal Cars Ltd5/F, Sime Darby House,380 Castle Peak Road,Tsuen Wan,New Territories, Hong Kong",15 units,Not disclosed,13 Apr 2016,MTR_Tender_Apr16_table1.csv,2016,Apr16,https://www.mtr.com.hk/en/corporate/tenders/Apr16.html
Q040872,Selective,Ultrasonic Testing Vehicle,"Rail Technology International Pty Ltd9, Commercial Drive, Lynbrook,Victoria, 3975,Australia",1 Job,"HK$37,643,174",26 Apr 2016,MTR_Tender_Apr16_table1.csv,2016,Apr16,https://www.mtr.com.hk/en/corporate/tenders/Apr16.html
Q042776,Selective,Supply and Installation of Signage Materials for New Lines Opening,"Mountain Arts Production Co LtdFlat 1 & 9, 5/F, Sunray Industrial Centre,610C Cha Kwo Ling Road, Yau Tong Bay,Kowloon, Hong Kong",1 Job,"HK$970,448",27 Apr 2016,MTR_Tender_Apr16_table1.csv,2016,Apr16,https://www.mtr.com.hk/en/corporate/tenders/Apr16.html
C1496-15E,Limited,"Replacement of CVCM Track Circuits in ISL, KTL, TWL, TKL, AEL and TCL","ALSTOM Hong Kong LtdUnit 1011, 10/F, New Kowloon Plaza,38 Tai Kok Tsui Road,Tai Kok Tsui,Kowloon, Hong Kong",Not Applicable,"HK$242,628,690",5 Feb 2016,MTR_Tender_Feb16_table1.csv,2016,Feb16,https://www.mtr.com.hk/en/corporate/tenders/Feb16.html
K1572.A-15E,Selective,Upgrade of LCD In-Train TV System of IKK Trains (LCD Supply Package),"ITOCHU Hong Kong Ltd28/F, United Centre,95 Queensway,Hong Kong",Not Applicable,"HK$17,350,000",5 Feb 2016,MTR_Tender_Feb16_table1.csv,2016,Feb16,https://www.mtr.com.hk/en/corporate/tenders/Feb16.html
M1115-15E,Selective,Maintenance Services for AEL and TCL Data Network,"Roctec Technology LtdRoom 1502-4, 15/F, Kodak House II,321 Java Road,North Point,Hong Kong",Not Applicable,"HK$5,441,980",29 Feb 2016,MTR_Tender_Feb16_table1.csv,2016,Feb16,https://www.mtr.com.hk/en/corporate/tenders/Feb16.html
Q041798,Selective,Provision of Building Design Support & Building Information Modeling Services,"ZST Corporation LtdNo. 909, QingAn Aviation Building, 4th Road Bagua,Futian District,Shenzhen,China",2 Years,"HK$7,998,768",17 Feb 2016,MTR_Tender_Feb16_table1.csv,2016,Feb16,https://www.mtr.com.hk/en/corporate/tenders/Feb16.html
Q042124,Selective,"Shop Repartitioning Works at 1/F and 2/F, East Wing, Paradise Mall","Tong Kee Engineering LtdUnit P & Q, 11/F, Block 2, Kinho Industrial Building,14-24 Au Pui Wan Street,Fotan,Shatin,New Territories, Hong Kong",1 Job,"HK$45,827,840",25 Feb 2016,MTR_Tender_Feb16_table1.csv,2016,Feb16,https://www.mtr.com.hk/en/corporate/tenders/Feb16.html
Q042244,Selective,"Provision of Security Guarding Services for Wong Chuk Hang Depot, South Island Line Stations and Kwun Tong Line Extension Stations in 2016","International Wing Shing Security Management LtdRoom 1201-2, 12/F, Fee Tat Commercial Centre613 Nathan Road,Mong Kok,Kowloon, Hong Kong",1 Year,"HK$11,672,231",19 Feb 2016,MTR_Tender_Feb16_table1.csv,2016,Feb16,https://www.mtr.com.hk/en/corporate/tenders/Feb16.html
Q042709,Selective,Term Contracts for Provision of Consultancy Services for Interior Design and Drafting Services for MTR Malls,"Madison Asia LtdSuite 1501,Chinachem Leighton Plaza,29 Leighton Road,Causeway Bay,Hong Kong",3 Years,"HK$8,205,000",17 Feb 2016,MTR_Tender_Feb16_table1.csv,2016,Feb16,https://www.mtr.com.hk/en/corporate/tenders/Feb16.html
Q043333,Selective,Distribution of Free Daily Newspaper in MTR Stations,"Metro Daily Ltd12/F, KOHO,73-75 Hung To Road,Kwun Tong,Kowloon, Hong Kong",2 Years,Not Disclosed,12 Aug 2016,MTR_Tender_Aug16_table1.csv,2016,Aug16,https://www.mtr.com.hk/en/corporate/tenders/Aug16.html
Q044763,Selective,Elevated Road along LOHAS Park Road and the Pedestrian Footbridge FB1,"Hsin Chong Construction Company LimitedHsin Chong Center,107-109 Wai Yip Street,Kwun Tong,Hong Kong",Not Applicable,"HK$116,253,625",12 Aug 2016,MTR_Tender_Aug16_table1.csv,2016,Aug16,https://www.mtr.com.hk/en/corporate/tenders/Aug16.html
1154B,Selective,Shatin to Central Link: Platform Screen Doors for SCL Phase 2 & APG Retrofit of EAL,"Shenzhen Fangda Automatic System Co Ltd5/F, Fangda Building ,Keji South 12th Road,High-tech Industrial Park,Nanshan,Shenzhen,P.R. China",Not Applicable,"HK$511,666,066",16 May 2016,MTR_Tender_May16_table1.csv,2016,May16,https://www.mtr.com.hk/en/corporate/tenders/May16.html
1172B,Selective,Shatin to Central Link: Lifts and Escalators for SCL Phase 2,"Otis Elevator Co (H.K.) LtdSuites 1501-17, 1513-1516, 15/F, Cityplaza One,1111 King’s Road,Taikoo Shing,Hong Kong",Not Applicable,"HK$145,448,832",10 May 2016,MTR_Tender_May16_table1.csv,2016,May16,https://www.mtr.com.hk/en/corporate/tenders/May16.html
C6596-15E,Selective,"Escalator Refurbishment at ISL, KTL and TWL","Otis Elevator Co (H.K.) Ltd15/F, Cityplaza One,1111 King’s Road,Taikoo Shing,Hong Kong",Not Applicable,"HK$199,335,389",12 May 2016,MTR_Tender_May16_table1.csv,2016,May16,https://www.mtr.com.hk/en/corporate/tenders/May16.html
Q043435,Selective,Supply & Replacement of Chillers at Telford Plaza II,"The Jardine Engineering Corporation Ltd5/F, Tower A, Manulife Financial Centre, 223-231 Wai Yip Street, Kwun Tong,Kowloon, Hong Kong",1 Job,"HK$37,192,000",23 May 2016,MTR_Tender_May16_table1.csv,2016,May16,https://www.mtr.com.hk/en/corporate/tenders/May16.html
Q045024,Selective,Provision of MTR Station Shop Management Services,"Certis Centurion Facility Co LtdBlock D, 9/F, Ka Ming Court,688-690 Castle Peak Road,Lai Chi Kok,Kowloon, Hong Kong",2 Years,Not Disclosed,26 May 2016,MTR_Tender_May16_table1.csv,2016,May16,https://www.mtr.com.hk/en/corporate/tenders/May16.html
Q046233,Selective,Provision of Offset Printing Services,"Sea-Wan Colour Separation & Printing Co LtdFlat B, 4/F,29-31 Lee Chung Street,Hop Shi Factory Building,Chai Wan,Hong Kong",2 Years,Not Disclosed,17 May 2016,MTR_Tender_May16_table1.csv,2016,May16,https://www.mtr.com.hk/en/corporate/tenders/May16.html
K0838.B-15C,Selective,A&A Works at 2/F Arrival Concourse and G/F Departure Concourse at LOW,"P. D. (Contractors) LtdRoom 1205-06, New Kowloon Plaza,38 Tai Kok Tsui Road,Tai Kok Tsui,Kowloon, Hong Kong",Not Applicable,"HK$149,808,765",8 Jun 2016,MTR_Tender_Jun16_table1.csv,2016,Jun16,https://www.mtr.com.hk/en/corporate/tenders/Jun16.html
Q044438,Selective,Provision of Media Agency Services,"Optimum Media DirectionUnit 808, Core E, Cyberport 3,100 Cyberport Road, Pokfulam,Hong Kong",3 Years,Not Disclosed,1 Jun 2016,MTR_Tender_Jun16_table1.csv,2016,Jun16,https://www.mtr.com.hk/en/corporate/tenders/Jun16.html
8219,Selective,Design and Construction of Underfloor Wheel Lathe Shed and Associated Works at Shek Kong Stabling Sidings,"Pollard Construction Company LimitedUnit 4112, 41/F, One Midtown No. 11 Hoi Shing Road, Tsuen Wan, New Territories, Hong Kong",1 Job,"HK$12,041,325",18 May 2017,MTR_Tender_May17_table1.csv,2017,May17,https://www.mtr.com.hk/en/corporate/tenders/May17.html
C4988-16E,Selective,Replacement of CCTV Systems,"UniVision Engineering LtdRoom 01A, 2/F., Sunbeam Centre,27 Shing Yip Street,Kwun Tong, Kowloon, Hong Kong",Not Applicable,"HK$389,381,009",11 May 2017,MTR_Tender_May17_table1.csv,2017,May17,https://www.mtr.com.hk/en/corporate/tenders/May17.html
Q042694,Selective,Contact Wire Wear Measuring System,MER MEC S.p.A.Via Oberdan 70 70043 Monopoli (BA) Italy,1 Job,"HK$7,800,939",12 May 2017,MTR_Tender_May17_table1.csv,2017,May17,https://www.mtr.com.hk/en/corporate/tenders/May17.html
Q047631,Selective,Retrofit of Chillers in Plant Room A at Telford Plaza I,"The Jardine Engineering Corporation, Limited5/F, Tower A Manulife Financial Centre, 223-231 Wai Yip Street,Kwun Tong, KowloonHong Kong",1 Job,"HK$20,394,405",10 May 2017,MTR_Tender_May17_table1.csv,2017,May17,https://www.mtr.com.hk/en/corporate/tenders/May17.html
Q050853,Selective,Provision of Design and Production of Decoration for Elements,"Conceptual LimitedUnit 901-902, 9/F, Yen Sheng Centre, 64 Hoi Yuen Road, Kwun Tong, Hong Kong",Not Applicable,"HK$16,660,000",31 May 2017,MTR_Tender_May17_table1.csv,2017,May17,https://www.mtr.com.hk/en/corporate/tenders/May17.html
Q050854,Selective,Provision of Marketing and Event Management Services for Elements,"E’s Concept Communication Limited12/F, Greatmany Centre, 111 Queen’s Road East, Wan Chai, Hong Kong",Not Applicable,"HK$8,330,000",31 May 2017,MTR_Tender_May17_table1.csv,2017,May17,https://www.mtr.com.hk/en/corporate/tenders/May17.html
Q051224,Selective,Provision of Station Assistant Services for Various Projects in 2017 and 2018,"Synergis Management Services Limited8/F, KT336, 334-336 Kwun Tong Road, Kwun Tong, Kowloon, Hong Kong",2 Years,"HK$11,077,357",12 May 2017,MTR_Tender_May17_table1.csv,2017,May17,https://www.mtr.com.hk/en/corporate/tenders/May17.html
Q051261,Selective,Renovation at Paradise Mall (for Phase I),"KKP Construction LimitedRoom 202, Metro Centre 1,32 Lam Hing Street,Kowloon Bay, Hong Kong",1 Job,"HK$32,888,888",26 May 2017,MTR_Tender_May17_table1.csv,2017,May17,https://www.mtr.com.hk/en/corporate/tenders/May17.html
Q051845,Selective,Provision of News and Information at In-train LED Panel on MTR Trains,"Hong Kong Commercial Broadcasting Co., Ltd.3 Broadcast Drive, Kowloon, Hong Kong",3 Years,Not Disclosed,18 May 2017,MTR_Tender_May17_table1.csv,2017,May17,https://www.mtr.com.hk/en/corporate/tenders/May17.html
Q053277,Selective,Supply and Installation of Parking Guidance System for Elements,"Greatwood LimitedUnit J, 3/F, Block 2, Kwun Tong Industrial Centre, 460-470 Kwun Tong Road, Kwun Tong, Kowloon, Hong Kong",1 Job,Not Disclosed,18 May 2017,MTR_Tender_May17_table1.csv,2017,May17,https://www.mtr.com.hk/en/corporate/tenders/May17.html
8226,Selective,"Design, Supply and Installation of Fire Rated Enclosure at Day 2 Area","Build King Interior & Construction Ltd.Block Front, 4/F, Ming Sang Industrial Building, 19 Hing Yip Street, Kwun Tong, Hong Kong",1 Job,"HK$53,076,724",13 Oct 2017,MTR_Tender_Oct17_table1.csv,2017,Oct17,https://www.mtr.com.hk/en/corporate/tenders/Oct17.html
M1145-17C,Selective,Management and Maintenance Services for Lok Ma Chau and West Rail Wetlands,"Yee Sun Garden LimitedShop G903, G/F, Tung Hoi Mansion,8 Taikoo Shing Road,Taikoo Shing,Hong Kong",Not Applicable,"HK$11,021,660",25 Oct 2017,MTR_Tender_Oct17_table1.csv,2017,Oct17,https://www.mtr.com.hk/en/corporate/tenders/Oct17.html
Q051698,Selective,"Advertising Sales Agency Service for Kwun Tong Line, Tsuen Wan Line, Island Line, South Island Line, Tseung Kwan O Line, Tung Chung Line, Disneyland Resort Line and Airport Express","JCDecaux Pearl & Dean Limited14/F, Oxford House, Taikoo Place979 King’s Road, Quarry Bay,Hong Kong",3 Years,Not Disclosed,17 Oct 2017,MTR_Tender_Oct17_table1.csv,2017,Oct17,https://www.mtr.com.hk/en/corporate/tenders/Oct17.html
Q053425,Selective,Term Contracts for General Building Repair and Shop Repartitioning Works for Investment Properties (Package 1),"Tong Kee Engineering LimitedUnit P & Q, 11/F, Block 2, Kinho Industrial Building14-24 Au Pui Wan Street, Fotan, Shatin, New Territories, Hong Kong",3 years,"HK$44,000,000",31 Oct 2017,MTR_Tender_Oct17_table1.csv,2017,Oct17,https://www.mtr.com.hk/en/corporate/tenders/Oct17.html
Q054318,Selective,Provision of IT Application Management & Development Services,"Ai Pu Jing Software Technology (Hong Kong) Company Limited20/F, Xiu Ping Commercial Building, 104 Jervois Street, Sheung Wan, Hong Kong",Not Applicable,Not Disclosed,4 Oct 2017,MTR_Tender_Oct17_table1.csv,2017,Oct17,https://www.mtr.com.hk/en/corporate/tenders/Oct17.html
Q055128,Selective,Supply of Diesel Vans,"Honest Motors Ltd3 /F, DCH Building, 20 Kai Cheung Road, Kowloon Bay, Kowloon, Hong Kong",6 Months,Not Disclosed,30 Oct 2017,MTR_Tender_Oct17_table1.csv,2017,Oct17,https://www.mtr.com.hk/en/corporate/tenders/Oct17.html
Q053248,Open,Provision of Laundry and Dry Cleaning Service for Property Division,"Tingo Laundry & Dry Cleaning CompanyUnit I, 2/F, Block 2,Kwai Tak Industrial Centre,15-33 Kwai Tak Street,Kwai Chung, New Territories,Hong Kong",Not Applicable,"HK$3,911,211",25 Aug 2017,MTR_Tender_Aug17_table1.csv,2017,Aug17,https://www.mtr.com.hk/en/corporate/tenders/Aug17.html
